City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Tambura,SS,5.6,27.4667,76.14,38,96,4.43,overcast clouds
190,Northam,GB,51.0333,-4.2167,49.01,93,100,12.71,overcast clouds
191,Mbini,GQ,1.574,9.6134,80.71,84,29,5.77,light rain
192,Banyo,CM,6.75,11.8167,69.75,37,6,2.77,clear sky
193,Vawkavysk,BY,53.1561,24.4513,13.51,85,6,2.82,clear sky
194,Gobabis,NA,-22.45,18.9667,71.6,18,2,16.37,clear sky
195,Panalingaan,PH,8.7842,117.4231,76.19,83,50,3.15,scattered clouds
196,Asau,RO,46.4333,26.4,20.32,92,51,4.27,broken clouds
197,Port-Cartier,CA,50.0334,-66.8654,26.17,95,100,22.08,snow
198,Poum,NC,-20.2333,164.0167,81.16,74,6,10.13,clear sky
199,Berlevag,NO,70.8578,29.0864,21.15,63,75,10.36,light shower snow
200,Hobyo,SO,5.3505,48.5268,78.4,81,87,14.41,overcast clouds
201,Maldonado,UY,-34.6667,-54.9167,71.22,54,0,9.53,clear sky
202,Raudeberg,NO,61.9875,5.1352,35.2,96,71,1.01,light snow
203,Xining,CN,36.6167,101.7667,26.15,30,100,1.48,overcast clouds
204,Arlit,NE,18.7369,7.3853,65.05,14,68,8.05,broken clouds
205,Geraldton,AU,-28.7667,114.6,66.61,94,5,9.22,clear sky
206,Leningradskiy,RU,69.3833,178.4167,-18.18,99,100,7.65,overcast clouds
207,Aljezur,PT,37.3191,-8.8033,58.77,97,91,7.65,overcast clouds
208,Mezhdurechensk,RU,53.6942,88.0603,6.58,96,14,4.03,few clouds
209,Manokwari,ID,-0.8667,134.0833,78.13,82,100,7.78,moderate rain
210,Lagos,NG,6.5833,3.75,76.46,63,45,1.43,scattered clouds
211,Roebourne,AU,-20.7833,117.1333,87.66,15,0,8.19,clear sky
212,Kailua,US,21.4022,-157.7394,76.75,69,96,8.01,light rain
213,Dutlwe,BW,-23.9833,23.9,69.03,69,20,10.92,light rain
214,Mahibadhoo,MV,3.7833,72.9667,81.55,74,100,10.56,overcast clouds
215,Zhangjiakou,CN,40.81,114.8794,25.0,49,89,0.76,overcast clouds
216,Sorland,NO,67.667,12.6934,38.34,81,100,24.49,overcast clouds
217,Jacqueville,CI,5.2052,-4.4146,84.11,81,94,10.45,overcast clouds
218,Usinsk,RU,65.9939,57.5281,-5.57,99,99,3.85,overcast clouds
219,Shahe,CN,39.2708,113.5478,28.99,40,29,3.76,scattered clouds
220,Amazar,RU,53.858,120.875,-23.24,93,97,3.71,overcast clouds
221,Khatanga,RU,71.9667,102.5,-35.99,97,15,2.86,few clouds
222,Kirkel,DE,49.2833,7.2333,30.33,79,0,3.44,clear sky
223,Magistralnyy,RU,56.1725,107.4458,-35.72,100,72,1.54,broken clouds
224,Asfi,MA,32.2994,-9.2372,62.6,93,23,8.25,few clouds
225,Kayes,ML,14.0,-11.0,81.1,14,95,5.26,overcast clouds
226,Villahermosa,MX,17.9833,-92.9167,77.07,71,90,6.91,overcast clouds
227,Arman,RU,59.7,150.1667,-1.61,77,100,14.9,overcast clouds
228,Jeremie,HT,18.65,-74.1167,78.64,80,65,2.33,broken clouds
229,Satao,PT,40.7418,-7.7329,53.08,92,92,4.54,overcast clouds
230,Charagua,BO,-19.8,-63.2167,67.48,94,100,5.23,moderate rain
231,Ketchikan,US,55.3422,-131.6461,28.62,80,4,8.28,clear sky
232,Narrabri,AU,-30.3167,149.7833,73.53,87,60,3.0,light rain
233,Ormara,PK,25.2088,64.6357,74.19,76,1,8.88,clear sky
234,Krasnoselkup,RU,65.7,82.4667,8.47,89,100,24.87,overcast clouds
235,Chatra,IN,24.2167,84.8667,48.25,42,0,4.27,clear sky
236,Votkinsk,RU,57.0486,53.9872,-6.23,99,86,2.75,overcast clouds
237,Srednekolymsk,RU,67.45,153.6833,-25.28,99,100,7.14,overcast clouds
238,Lambare,PY,-25.3468,-57.6065,81.48,67,93,8.5,overcast clouds
239,Naryan-Mar,RU,67.6713,53.087,-26.7,98,28,2.66,scattered clouds
240,Iquique,CL,-20.2208,-70.1431,68.38,78,42,4.34,scattered clouds
241,Akyab,MM,20.15,92.9,61.52,77,0,7.43,clear sky
242,Martinsburg,US,39.4562,-77.9639,40.93,44,1,12.66,clear sky
243,Khandyga,RU,62.6667,135.6,-56.78,100,89,1.57,overcast clouds
244,Fayaoue,NC,-20.65,166.5333,80.13,76,29,12.68,scattered clouds
245,Cherskiy,RU,68.75,161.3,-33.43,100,100,3.53,overcast clouds
246,Sambava,MG,-14.2667,50.1667,77.11,92,41,3.76,light rain
247,Alyangula,AU,-13.8483,136.4192,84.69,68,80,10.2,broken clouds
248,Eureka,US,40.8021,-124.1637,58.93,75,100,8.01,light rain
249,Burnie,AU,-41.0667,145.9167,60.94,52,22,2.55,few clouds
250,Kitoy,RU,52.6,103.9,-28.32,99,12,1.54,few clouds
251,Wright,US,45.1833,-93.9502,28.81,71,1,4.0,clear sky
252,Oranjemund,NA,-28.55,16.4333,62.85,84,0,2.84,clear sky
253,Inhambane,MZ,-23.865,35.3833,76.64,76,90,11.5,overcast clouds
254,Antalaha,MG,-14.9003,50.2788,77.31,92,82,4.18,broken clouds
255,Kamaishi,JP,39.2667,141.8833,32.9,58,32,8.01,scattered clouds
256,Saldanha,ZA,-33.0117,17.9442,63.99,88,100,5.86,overcast clouds
257,Nalut,LY,30.3333,10.85,51.91,36,100,1.95,overcast clouds
258,Kalmunai,LK,7.4167,81.8167,75.54,76,35,6.71,scattered clouds
