City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Aswan,EG,2021-12-21 17:24:04,24.0934,32.907,56.14,29,11,11.36
246,Kahului,US,2021-12-21 17:24:04,20.8947,-156.47,70.86,88,90,11.5
247,Gizo,SB,2021-12-21 17:24:05,-8.103,156.8419,82.8,77,96,4.25
248,Kalemie,CD,2021-12-21 17:24:05,-5.9475,29.1947,71.98,83,99,2.55
249,Cartagena,CO,2021-12-21 17:22:22,10.3997,-75.5144,89.22,62,20,8.05
250,Rawson,AR,2021-12-21 17:24:05,-43.3002,-65.1023,66.79,53,3,20.29
251,Talnakh,RU,2021-12-21 17:24:06,69.4865,88.3972,-24.48,88,83,8.97
252,Saint-Augustin,CA,2021-12-21 17:19:38,51.226,-58.6502,15.94,92,100,12.64
253,Kamaishi,JP,2021-12-21 17:24:07,39.2667,141.8833,39.4,72,36,13.85
254,Sasaima,CO,2021-12-21 17:24:07,4.9661,-74.4351,87.26,60,92,5.32
255,Honningsvag,NO,2021-12-21 17:24:07,70.9821,25.9704,28.15,70,100,8.66
256,Reconquista,AR,2021-12-21 17:24:08,-29.15,-59.65,104.79,19,1,6.6
257,Urumqi,CN,2021-12-21 17:24:08,43.801,87.6005,9.55,85,82,0.0
258,Hope,US,2021-12-21 17:25:08,33.6671,-93.5916,45.75,56,1,4.81
259,Singaparna,ID,2021-12-21 17:25:09,-7.3515,108.111,71.56,95,100,2.42
260,Biak,ID,2021-12-21 17:25:09,-0.9131,122.8766,76.15,82,100,4.56
261,Turtas,RU,2021-12-21 17:25:09,58.9417,69.1325,23.72,95,100,9.04
262,Roma,US,2021-12-21 17:21:21,43.2128,-75.4557,39.96,73,75,5.75
263,Chumikan,RU,2021-12-21 17:25:10,54.7183,135.315,-26.37,83,89,8.34
264,Zhigalovo,RU,2021-12-21 17:25:10,54.8097,105.1578,-33.38,100,14,0.83
265,Sorkjosen,NO,2021-12-21 17:25:11,69.8,20.9333,15.8,62,0,9.22
266,Zharkent,KZ,2021-12-21 17:25:11,44.1628,80.0,32.81,64,0,3.29
267,Tamiahua,MX,2021-12-21 17:25:12,21.2667,-97.45,70.2,67,100,6.73
268,Mwinilunga,ZM,2021-12-21 17:25:12,-11.7358,24.4293,67.53,90,99,5.1
269,Bertoua,CM,2021-12-21 17:25:12,4.5833,13.6833,82.47,32,93,2.73
270,Haimen,CN,2021-12-21 17:25:12,23.1935,116.6142,62.49,90,100,6.98
271,Shelburne,CA,2021-12-21 17:25:13,44.0787,-80.2041,29.19,73,59,8.23
272,Nioro,GM,2021-12-21 17:25:13,13.35,-15.75,89.73,12,99,14.54
273,Batagay-Alyta,RU,2021-12-21 17:25:14,67.8006,130.4114,-29.99,95,97,3.09
274,Ballina,AU,2021-12-21 17:25:14,-28.8667,153.5667,73.58,88,75,5.75
275,Kununurra,AU,2021-12-21 17:25:10,-15.7667,128.7333,84.18,79,98,0.0
276,Grindavik,IS,2021-12-21 17:25:14,63.8424,-22.4338,37.87,93,75,6.91
277,Pisco,PE,2021-12-21 17:25:15,-13.7,-76.2167,72.01,83,91,11.5
278,Vestmannaeyjar,IS,2021-12-21 17:25:15,63.4427,-20.2734,40.19,93,90,20.71
279,Kruisfontein,ZA,2021-12-21 17:25:15,-34.0033,24.7314,75.88,72,4,10.45
280,Atambua,ID,2021-12-21 17:25:16,-9.1061,124.8925,74.68,87,100,2.24
281,Shimoda,JP,2021-12-21 17:25:16,34.6667,138.95,48.11,69,0,14.92
282,Vanavara,RU,2021-12-21 17:25:16,60.34,102.2797,-36.76,100,29,0.47
283,Plouzane,FR,2021-12-21 17:25:17,48.3833,-4.6167,41.32,81,0,4.61
284,Alamogordo,US,2021-12-21 17:22:20,32.8995,-105.9603,66.56,20,1,5.75
285,Rudnya,RU,2021-12-21 17:25:17,54.947,31.0934,8.73,87,100,9.42
286,Vao,NC,2021-12-21 17:25:17,-22.6667,167.4833,76.03,82,99,12.62
287,Mogwase,ZA,2021-12-21 17:25:18,-25.185,27.2665,77.36,40,93,0.18
288,Montlucon,FR,2021-12-21 17:25:18,46.3333,2.6,30.67,93,3,3.15
289,Wukari,NG,2021-12-21 17:25:18,7.85,9.7833,88.61,17,47,7.2
